,Price,Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7
2015-09-07,1957.3625000000002,1223.0275000000001,1273.1354999999999,1223.00675,672.759,1373.33475,2872.8,5411.34275
2015-09-08,1969.41,1225.63,1274.292,1225.903,674.653,1374.148,2872.8,5398.382
2015-09-09,1942.04,1236.04,1236.177,1218.124,639.898,1371.305,2872.8,5446.283
2015-09-10,1952.29,1245.545,1239.327,1217.992,638.292,1368.46,2888.8,5447.065
2015-09-11,1961.05,1255.05,1247.355,1221.554,648.601,1371.715,2888.8,5433.041
2015-09-12,1958.3766666666666,1249.71,1234.935,1220.2730000000001,637.2503333333333,1370.7656666666667,2888.8,5442.404
2015-09-13,1955.7033333333334,1244.37,1222.515,1218.992,625.8996666666667,1369.8163333333332,2888.8,5451.767
2015-09-14,1953.03,1239.03,1210.095,1217.711,614.549,1368.867,2888.8,5461.13
2015-09-15,1978.09,1256.09,1180.746,1220.576,586.855,1366.015,2888.8,5452.386
2015-09-16,1995.31,1281.31,1185.039,1225.848,594.17,1369.273,2888.8,5431.643
2015-09-17,1990.2,1284.2,1190.124,1226.592,585.6875,1372.535,2888.8,5432.862
2015-09-18,1958.03,1244.03,1164.222,1217.861,577.205,1369.68,2888.8,5479.685
2015-09-19,1961.01,1244.3433333333332,1173.132,1217.7250000000001,582.9773333333334,1368.7276666666667,2888.8,5473.357333333333
2015-09-20,1963.99,1244.6566666666668,1182.042,1217.589,588.7496666666667,1367.7753333333335,2888.8,5467.029666666667
2015-09-21,1966.97,1244.97,1190.952,1217.453,594.522,1366.823,2888.8,5460.702
2015-09-22,1942.74,1212.74,1213.272,1210.337,608.296,1363.962,2888.8,5476.977
2015-09-23,1938.76,1200.76,1235.988,1207.318,622.382,1361.099,2872.8,5462.836
2015-09-24,1932.24,1202.24,1233.297,1207.787,624.088,1364.363,2872.8,5469.132
2015-09-25,1931.34,1193.34,1227.852,1205.392,615.586,1361.497,2872.8,5475.093
2015-09-26,1914.8166666666666,1179.4833333333333,1237.968,1202.6536666666666,624.9846666666667,1362.5856666666666,2878.1333333333337,5489.733333333334
2015-09-27,1898.2933333333333,1165.6266666666666,1248.084,1199.9153333333334,634.3833333333333,1363.6743333333334,2883.4666666666667,5504.373666666666
2015-09-28,1881.77,1151.77,1258.2,1197.177,643.782,1364.763,2888.8,5519.014
2015-09-29,1884.09,1162.09,1241.793,1199.437,634.49,1368.033,2888.8,5522.873
2015-09-30,1920.03,1206.03,1254.87,1208.473,648.835,1371.305,2904.8,5489.361
2015-10-01,1923.82,1201.82,1269.18,1207.024,656.165,1368.436,2888.8,5471.437
